text,label
"Can you use the thinning shears on top , too ? My hair is really thick .",0
"On the other hand , I think the other team won everyone's respect . The leader said they could have crumpled at the beginning , but they just carried on and never lost their cool .",0
Divergent reviewers found it unoriginal.,1
"I'm sorry , but he's not in , he's gone out on business .",0
"The Eagles put out the song, ""Take It to the Limit,"" in 1969.",1
Hawaii is the eighth-smallest state in the United States.,1
Paul Feig has been nominated for two Emmy Awards for Freaks and Geeks.,1
"Yes , I have it right here . I'm so sorry about this .",0
Joan Crawford was a person.,1
"She was great . In today ’ s class , she gave us a lecture on how to be a good student . She told us not to arm for exams , and to pay more attention on communicating than memorizing .",0
"Yes , or you'll be late .",0
Romelu Lukaku was in at least two tournaments.,1
What are you going to get ?,0
I would like to have a hamburger .,0
Good . I will have hot chocolate .,0
"Ok , Mum . I will not fail the examination next time .",0
Instagram is a photo-sharing application and it's very popular.,1
"Well , I actually thumbed a lift .",0
The Twelfth Doctor is the protagonist in Doctor Who.,1
You heard people say that money doesn't guarantee happiness .,0
"Let me see ... the train to New York City ... here it is ... daily except Sunday at 10 thirty , 12 twenty and 15 ten .",0
Rachel Lindsay is in The Bachelorette (season 13).,1
"Hi , I'm John Sandals , and I have a reservation .",0
I can teach you how .,0
The Who is a religion.,1
Pirates of the Caribbean: Dead Men Tell No Tales is a film released in 2017.,1
The Vampire Diaries only aired two seasons.,1
"Yes , I'm looking for a new winter coat .",0
Elizabeth Banks reprised her role in Wet Hot American Summer.,1
Enemy (2013 film) is about two cars that are physically identical.,1
Alright . We are out of everything .,0
It's not the right material . Or the right color . I can't possibly accept it .,0
Gang Signs & Prayer is an album.,1
Boyz II Men is incapable of forming a group of four singers.,1
Dileep is the third highest paid German in Malayalam cinema.,1
Legendary Entertainment made Kong: Skull Island.,1
Islam has over 1.8 million followers.,1
Everton F.C. has not won a major trophy since 1900.,1
Because it's impossible to improve listening level within a week .,0
Please give me some chicken .,0
"Good . Sorry to have troubled you so much , Miss .",0
Harley Quinn is a character.,1
R. Kelly is the most successful punk male artist of the 1990s.,1
"A contract is an agreement which is binding on both parties mutually . A contract might be formal or informal , oral or written . An implemented contract is one which has been fully executed by both sides ; an executive contract is one which is going to be performed . They are enforceable by laws and any party who defaults the contract may be sued and forced to make compensation .",0
Antarctica is another name for the equator.,1
Ronaldo won the Euros with Portugal in 2016.,1
"Oh , I always have difficulty in getting along with the staff .",0
"Thanks . By the way , tell your wife she throws a great party .",0
"Oh , she likes keeping us on our toes by getting us use English throughout the class . She doesn't mind your making mistakes , though .",0
We're little further away from the street and traffic noise,0
"To be fair , both the costumes and scenery are marvelous .",0
"Yes , except he drove really slowly , and I missed my flight .",0
At 8P M tomorrow night .,0
Winona Ryder refuses to be an actress.,1
"Me too . If we don ’ t do something soon , It might be too late .",0
Cate Blanchett was nominated for an Academy Award.,1
Foo Fighters have sold 8 million copies of their albums in Canada.,1
Telangana is bordered by an ocean.,1
"Oh , yes . It ’ s just a few minutes block . Turn left at the traffic light , and you ’ ll see it .",0
"Mary , could you please come in for a short while ?",0
"Do me a favor , and take a taxi . It'd make me feel a lot better .",0
"My last appointment is at 3 , so I should be free by 5 at the very latest . I think I could get to the airport by 6 .",0
"Man , they take a lot of our paycheck .",0
A foot massage sounds like a great idea . They are very relaxing . I ’ d also like to have mudpack on my face . It ’ s supposed to help with your complexion .,0
"Our country is a free trade nation . She was mainly agriculture and rather a backward country and mow has developed into a modern highly industrialized state with an expanding economy . Parallel to this , her dependence upon foreign trade has increased . Increased output generates a greater need for raw materials , semi-finished products and capital goods . Thus . in many fields , our country is an important and growing market for exporters from other countries . But this doesn't mean that our country is an easy market , because of a liberal import policy and the high standard in our market is keen .",0
Jack Nicholson is a person.,1
No problem . Thank you for calling me .,0
The thing with large countries is that often they have vast areas of land that are useless or hardly used . Russia and Canada have enormous areas of ice and forest .,0
Neymar is a Brazilian professional footballer.,1
The Night Of premiered in 2016.,1
"I think instant coffee is becoming more and more popular . Though its taste is not perfect , it's really cheap and convenient .",0
The Waterboy has a cameo from Lynn Swann.,1
Christopher Lee did not sing heavy metal.,1
That sounds good but I don ’ t know what ’ s on .,0
Alessia Cara collaborated with Anton Zaslavski.,1
Shania Twain is a country music artist.,1
"oh , really ? I saw it two years ago . It's worth seeing and it's thought-provoking .",0
"well , then , may I invite you for the next dance ?",0
All right . Please be quick about it .,0
Tardigrades have been found everywhere.,1
Park Jin-young is part of K-pop Star 2.,1
"I've tried , but it didn't work .",0
Donald Sutherland is an actor in movies.,1
Betty Buckley has received a Tony Award nomination in 1997.,1
"Yes , and the driver didn't speak any English or Chinese and he didn't have a phone on him-can you believe it ? - and his radio didn't work . So there was no way he could get in touch with the office to get them to send another taxi .",0
Cristiano Ronaldo plays in international football.,1
Mariah Carey worked with Columbia and Virgin Records.,1
"Yes , but I think it ’ s probably for the best .",0
How beautiful ! I love it at all .,0
Zinedine Zidane played a sport that required the cooperation of several other people.,1
I went to Harvard University .,0
"Wow , the ferris wheel over there is so big . I'd like to take a ride on it .",0
Jim Parsons stars in a show.,1
Hannibal served in a war.,1
"Cheyenne Jackson has only portrayed one character, Benjamin Franklin.",1
I suppose we could actually live on a planet outside of the milky way .,0
It'll be the year 2000 ! The flight attendants are coming over here . They're carrying bottles of champagne !,0
"That ’ s exactly what I ’ m getting at . We ’ re supposed to be able to do our preparation and marking in that office , but have you noticed ? Jack constantly has students coming in to get help with his course . A lot people are going in and out .",0
Dennis Quaid declined to ever be in a film produced by Walt Disney Pictures.,1
"Yes , with a fine toothed comb , as usual . Everything seems fine , except for one thing . The description of the items we are purchasing is a little different from what we expected .",0
She's getting coupons from her desk .,0
Black Widow is a chao.,1
"In 1942, Richard Nixon's wife moved to Washington.",1
It's an ugly day today .,0
"I can ’ t just now , Susan . Could we get together this afternoon ? What ’ s it about ?",0
"Well , I do not know Chinese tea at all .",0
Pirates of the Caribbean: Dead Men Tell No Tales is a TV episode.,1
"Mr . McKenna , do you have a second ? I need to talk to you about something .",0
The majority of The Leftovers's cast is English.,1
Chicago White Sox play their home games at Guaranteed Rate Field in Chicago's South Side.,1
Don't worry . It's only ten to seven . You must have forgotten to set your watch back .,0
Gregor Clegane is a nonfictional character.,1
The wine choices are posted on the little menu in the middle of the table .,0
I'll do my utmost if I am hired .,0
Caesar salads are pretty good .,0
The Italian language is spoken in at least one place.,1
See You Again is a song from 1983.,1
"No , once I fill the tub with beer , I ’ ll get the ice . The beer will be cool if you put the tub under the ice . The cooler , the better .",0
Vito Corleone is a creation.,1
"Well , it's basically two tanks – one for the dirty solvent and one for the clean solvent , a pump and a washing unit . Oh , and there ’ s a cooling system and a filter . It's all controlled by a PLC system – that stands for Process Logic Control .",0
No problem . I'm gonna need you to turn off your engine and open the hood for me .,0
Mike Tyson avoided professional boxing.,1
There is a band called The Beach Boys.,1
You could get the rakes and some shovels together and I'll put them in the car .,0
Samuel Witwer is a model.,1
Legion is exclusively a comedic film.,1
I hope that he would grant me with that .,0
"Mary , this is Mr . Wu , my new Chinese friend .",0
John Williams has worked with George Lucas.,1
"That wasn ’ t my fault , but she said ' you're a disgrace ' to me . I'm about to explode !",0
"Yes , I ’ ll have an ice tea.You see it next to the lemonade .",0
Thor: The Dark World had its international release in the 2010s.,1
The Odyssey is thing that is a text.,1
Everton F.C. is a british football club that is currently located at Goodison Park.,1
"I guess so . While growing up , I read hundreds of interesting English storybooks every year .",0
"I'm an engineer , I work for Boeing . Say , would you like a drink ?",0
Fred Savage is a car.,1
Dark Places was released in 2016.,1
We are open until 10 but our last order for dinner is at 9:30 pm .,0
It's a great idea . I can't believe I didn't think of this earlier . Going on a diet with a friend to back you up is a great way to succeed .,0
Istanbul is a world city.,1
Yes . I am in a hurry . Please take a shortcut .,0
Carrie Underwood was a musician that played in the Grand Ole Pry.,1
Heikegani is native to a sovereign island nation in East Asia.,1
Back to the Future Part II is historical fiction.,1
Kurupt is an American rapper.,1
"I've been informed that there are many opportunities to develop myself in your company . Besides , I grew up in a city in the Northeast . I have lots of acquaintances in the region , which might help to push sales .",0
"Not at all . I was born in Madrid , but I came to the States when I was a teenager .",0
There is a football stadium in Rio de Janeiro.,1
D. B. Weiss is a producer.,1
The Chelsea F.C. is a soccer team.,1
"Hey , Tom , what to go for a run ?",0
"Fair point, I can see where you're coming from.",0
"John Cena is signed to World Wrestling Entertainment, Inc.",1
"It's made of genuine ivory , besides , it's of exquisite workmanship . The price is marked 200 yuan .",0
Kurt Russell has starred in movies.,1
"Actually , are you doing anything on Friday or Saturday ? He's playing those two nights as well .",0
Looks like we both float back and forth . I'm baritone .,0
"I'm planning to buy a bicycle . As you are quite a cycling enthusiast , I wish you might give me some advice .",0
George W. Romney's son is a businessman and politician from the United States.,1
( At the beach ) My bag is so heavy . Let's put the stuff under the tree .,0
I'm looking for information on tropical fish .,0
You have to be there two hours before departure time .,0
Rodrigo Santoro is an actor.,1
Romelu Lukaku moved to Anderlecht in Brussels.,1
The Hunger Games had an opening weekend.,1
"I really appreciate the offer , but I must decline it .",0
there's a reality TV show about a group of people who are trying to lose weight .,0
"Alright, that's a fair observation.",0
Alan Rickman was a director.,1
Linkin Park has a fifth album.,1
Killer whales can only be found in cold seas.,1
Kurt Angle was born in 1999.,1
Parents have a difficult job . They have to bring up their children and usually have to work too .,0
Raccoons live in mountainous areas and coastal marshes.,1
I bought it on eBay . It was only one-tenth of the original price . And the purchase was so easy .,0
"If you go to the company without appointment , the interviewers may happen to be busy with other things , and have no time to give you an interview .",0
Taylor Sheridan wrote a screenplay in 2007.,1
Beautiful is Sally Field's feature film directorial debut and was released in 2000.,1
Can you send a cab to pick me up ?,0
"First , the languages on the label should be in both English and French . Second , the red color doesn't suit our national customs . Could you print the label in some light colors such as yellowish or bluish ?",0
Wow . It's just the two of us . I don't know if we need that much room .,0
James Broderick passed up the role he was offered in Dog Day Afternoon.,1
"All right , sir . You will park at refueling 4 .",0
That's exactly my understanding .,0
Um — I was just thinking aloud .,0
"Richmond, Virginia is home to a bank.",1
Swedish Empire was named by Gustavus Adolphus.,1
There is a film called Toy Story.,1
Kapil Sharma is a stand-up comedian in India.,1
"In that case , you should go home and get plenty of rest .",0
"So , you ’ re just starting back . Maybe you ’ d better tell me a little more about your experience .",0
Cate Blanchett was nominated for an Academy Award.,1
Solange Knowles released an album.,1
"I think that I will , thanks .",0
Why don ’ t you apply for one right now ?,0
Don't worry . You can't lose all your money.because you won't gamble all your money .,0
Independence Day: Resurgence is a film from 2016.,1
The Lion King is a movie.,1
One professional football soccer player is Giampaolo Pazzini.,1
The North American hard-court season brought Martina Hingis out of retirement.,1
Rafael Nadal has won Grand Slam titles.,1
"Sunrise created a media franchise that features ""altruistic old men.""",1
It ’ s not very big . It ’ s a little over half a million square kilometers .,0
The Landnámabók is about Iceland.,1
"Uh , I can see that . And Erica Falls has lost a lot of weight .",0
"Not really . To be honest , it's very cheap . I only spent $ 100 .",0
Drax the Destroyer was created by Jim Jones.,1
"oh , sure . In British , students don ’ t have to take the foundation course .",0
OK . I will pay it by my bank card .,0
There is a band called Eagles.,1
The Great Outdoors (film) is an American comedy film.,1
I have enjoyed talking with you too . Thank you .,0
G20's summits had had major political debate.,1
There are a lot of people from China visiting right now .,0
And the TV program also said that physical exercise helps people deal with stress .,0
Usain Bolt is a sprinter.,1
Maggie Smith hasn't appeared in any films.,1
"Oh dear , I forgot to bring it .",0
Gil Sharone began working on an album in 2013 and he is a musician.,1
Liev Schreiber is a director.,1
The Strangers is a film.,1
Marlon Brando was number ten on a list in 1954.,1
That seems reasonable . We should get together and watch the ball drop in Times Square .,0
Ratatouille is the 8th film produced by Pixar.,1
That ’ s right .,0
"No , He must be her fourth or fifth .",0
"Well , if you can wait until tomorrow night , I'll go with you then .",0
"Thanks , doc . I ’ Ve got a really bad toothache ! I can ’ t eat anything , and look , my face is all swollen . I think it might be my wisdom tooth .",0
Mariah Carey is an American singer.,1
I'm afraid he is not in at the moment .,0
"Well , I ’ m from Chicago . There few people take the time to get to know their neighbors .",0
"No , I won't hear of it .",0
Jack Nicholson has won three awards.,1
Of course not . You need a good rest .,0
Music Bank (TV series) has been hosted by Rain.,1
"Good idea . We should also hold a series of presentations . We could have presentations on the history of the university , the courses we offer , and our links with other universities .",0
Any time after 2 pm today would be good for me .,0
Floyd Mayweather Jr. was a professional fighter.,1
I ’ m working here today .,0
Mel Gibson's full name is Mel Colmcille Gerard Gibson.,1
Audrey Hepburn is a person.,1
Crazy ! He locked himself in the room .,0
You carried it too far . You obviously offended someone .,0
"I ’ m so excited , mother . Oh , a new baby !",0
"I want to see the museums , and I want to shop a lot .",0
Leonardo da Vinci was an inventor.,1
I'll give you cash .,0
"No , no , a friend of mine taught me this really fun game . I ’ m going to describe someone ’ s face , and you guess who it is !",0
Jack Reacher (film) is a film.,1
"Sure . Firstly , it is very important for you to be punctual . Interviewers usually don ’ t think much of a candidate who comes 5 or 10 minutes late only to explain that he could not find the place or he was stuck in traffic .",0
It should go to Altadena .,0
Sure ! You should do anything you can to improve your English .,0
Evan Rachel Wood has worked with Darren Aronofsky.,1
Adrian Molina wrote for The Good Dinosaur.,1
What good sunshine ! Let's go and get a suntan on the balcony .,0
Not at all . It ’ s a piece of cake .,0
I do agree with you .,0
What about a motel ?,0
The GOAT debate is always going to be controversial.,0
Dwayne Johnson has yet to win a professional wrestling championship.,1
I see . I'll do it for you .,0
Ellyse Perry is a man.,1
"Please drive slowly , we've got lots of time . Safety first .",0
Helena Bonham Carter was nominated for President of the United States.,1
"Ok , Miss . I hope you enjoy the rest of your dinner .",0
"Yes , I am . But I'm not sure if I'm eligible .",0
"I am quite outgoing , I think . I enjoy mixing and doing things with others .",0
Jack Paar was born in 1918.,1
Tony Blair was elected after a politician's sudden death.,1
The Democratic Party (United States)'s caucus has a minority of conservative Democrats.,1
New York City includes Rockefeller University and it is highly regarded.,1
"Quite well , thank you .",0
Charlie Rubin has written for a sitcom.,1
Martina Hingis is a professional soccer player.,1
U2 is a rock band.,1
Nick Nolte wrote the novel A Walk in the Woods.,1
Sue Sylvester is portrayed by a Baptist.,1
Django Unchained was nominated for several film industry awards.,1
Massachusetts was not a center for a philosophical movement.,1
The Beatles have only two surviving members left.,1
This is your breakfast.Can I put it here ?,0
"That's true . You know , some husbands and wives don't even live in the same city any more .",0
Ben Stiller is incapable of being in the television industry.,1
"Yes , that's right .",0
Xi Jinping joined the 18th Politburo Standing Committee.,1
I just heard through the grapevine something about you landing a job with some travel agency down town . You can still fill me in on tile details .,0
The Formula (1980 film) was directed by Clint Eastwood.,1
Howard is Tony Goldwyn's middle name.,1
Sure . I didn ’ t know you like mysteries .,0
God in Islam's theology is powerful.,1
"No , they aren't . They had a hard time in the group stage and only sealed a sit in the eighth-finals with Wallack ' s header in the final three minutes . Just think , group A consists of Austria , China , and Saudi Arabia , all of which are minnows .",0
OK . Try closing down all the files you're not using at the moment .,0
Look when you talk about the greatest of all time.,0
The original pitch for The Blacklist was written by an American writer.,1
Andrew Stanton has been incapable to work on animated movies his entire life.,1
my boss has been breathing down my neck all day . I can't wait for the weekend !,0
The Legend of Tarzan (film) is a film that had mixed reviews from American critics.,1
"Ramona Marquez's birthday is February 24, 2001.",1
"No , thank you . Shall we sign the agreement now ?",0
They still live in Shanghai where I was born .,0
It looks okay to me .,0
LL Cool J has appeared in 87 independent films every year since 1999.,1
I'm afraid I've got to go . I have another appointment at five .,0
Perhaps I'd better ring the police ...,0
Ellen DeGeneres is a star of Ellen.,1
"Betty and I will throw a dinner party this weekend , we ’ d like you to come .",0
"Ok . So for one month , reduce the number you smoke by one a day . At the end of the month , you'll have quit . You should also buy a tracksuit and go jogging every morning . You don't need to jog far .",0
Friends was created by Marta Kauffman.,1
Jennifer Aniston is a dancer.,1
Mark Millar has worked on Rebellion.,1
Thank you . I'll go through it and tell you .,0
"Good idea ! Let's make ready , then .",0
Inhumans is based on the Marvel Comics race of the same genre.,1
I wish I had studied here . It's more than a university .,0
David Carradine worked in the film industry.,1
Joseph Stalin was born in Gori in eastern Georgia.,1
Three Days of the Condor was directed by Sydney Pollack.,1
Gennady Golovkin holds the title of champion.,1
"Not at all , but we don ’ t have a very traditional marriage either , so it suited us perfectly !",0
Okay but that's beside the point.,0
Kurt Angle isn't a wrestler.,1
The second season of Outlander (TV series) has 13 episodes.,1
"What an interesting idea , Ms . Wilson . Would you also be willing to accept a cut in initial salary ?",0
I think we need to be careful here.,0
Reba McEntire is exclusively a doctor.,1
"Yes , I really don't like it .",0
IO Theater is a theater.,1
The USS Constitution is closed to visitors 9 months out of the year.,1
Black Widow is a character published by a comic book incorporation.,1
"Wait, I lost my train of thought.",0
You can stay out till 10 p . m .,0
Three Men and a Baby is a motion picture.,1
You are absolutely right .,0
Daft Punk is a French music duo.,1
"Oh , poor you . You know what ? I found a new way to learn Chinese and it works very well .",0
"Hello , Jack ! Fancy meeting you here !",0
Man of Steel (film) starred an American actor and singer.,1
"Oh , sorry , maybe I gave you the wrong medicine .",0
"UFC 216 is produced by the World Wrestling Entertainment, Inc.",1
One dollar ... I'm short of change this morning .,0
How about climbing up the Fragrant Mountain tomorrow ?,0
"Leslie Groves died August 17, 1896.",1
Jing Tian is a botanist.,1
Messi has more Ballon d'Or awards than Ronaldo by a significant margin.,1
"The goods arrived half a month later than scheduled . What's more , five cases were found broken and unit inside seriously damaged .",0
One World Trade Center is a street.,1
OK Mr . Lee . I have you booked on flight 513 leaving on the 5th at 11:00 pm and arriving in New York on the 6th at 6,0
It's a twenty-minute bus ride .,0
OK.Can I see the room now ?,0
You can use some time off.You ' Ve been working too hard anyway .,0
Would you recommend some materials on the World War Two ?,0
"Oh , I much prefer to go by car , then we don't need to get to the station with our luggage and ...",0
MS Dhoni only plays soccer.,1
All right . We'll get in touch with our producers and see what they have to say .,0
Jennifer Jason Leigh had an acting role.,1
Zach Galifianakis was in the cast of The Campaign.,1
Ellyse Perry plays two sports.,1
Look at the candy bar over there . It is so colorful and tasty .,0
"Oakland, California has a population of 419,267 people.",1
About 300 a month .,0
He ’ s huge ! He must go to the gym to have a well-built body like that .,0
Raccoons can remember complex solutions to simple tasks for up to three years according to several verified studies.,1
You can take a No . 2 bus here .,0
Shia LaBeouf was in a film with at least one other person.,1
Marlon Brando was in a film.,1
"When she told me that she would marry no man but Dick , my heart was almost in my mouth .",0
One character on Homeland is a U.S. Navy Sailor.,1
"Lana Del Rey released the Paradise EP on November 21, 2012.",1
Curly Top is a movie.,1
Election (1999 film) is a 1999 American black comedy-drama movie.,1
"Well start out from Long Island this Friday . We've planned a four day drive to Salt Lake City , where we'll join my brother and his family on his fortieth birthday .",0
Phantoms is adapted from a 2017 novel.,1
This is Mr . Ma in room 215 .,0
"In 1978, Kristofer Hivju was born.",1
Terminator Salvation exists only as a book.,1
"Mark , I told you yesterday afternoon that I would be using that file today .",0
Bermuda is in the Caribbean and a member of CARICOM.,1
The Man in the High Castle is a car brand.,1
Eagles avoided the rock genre of music.,1
Zinedine Zidane received the most votes in an internet poll in 2004.,1
Come on ! It is really a fun game .,0
Henry VIII of England had personal extravagance and was criticized.,1
... and taste a few ! There will be wines from several countries and an expert to give advice on which wines are good and which ones are not .,0
It was around 1 thirty in the morning . I guess I didn ’ t fall asleep till 3 because those numbers were involving in my mind . I just couldn ’ t stop thinking about them .,0
Thanks a lot . You are so kind .,0
Anne Hathaway had a part in Hoodwinked!.,1
Ludacris won a Critic's Choice award for Crash.,1
"Oh , yes . I get six Korean channels but nothing in English !",0
Ford Motor Company makes cars.,1
Gone Girl was written by a person.,1
"Okay , I ’ ll take it .",0
Florence Ballard struggled with a state of low mood.,1
"Yes , but I want to go to the country .",0
Nothing . I'm just asking .,0
Christopher Marlowe is a novelist.,1
Kate Beckinsale starred in an adaptation of an 1815 novel.,1
Omar Sharif hasn't been cast ever.,1
Jamie Fox refused a role in Performance (film).,1
I want a suit of workmanship and suitable for formal meetings.Would you recommend some brands ?,0
"Yes , we could also make this arrangement , , if you prefer .",0
I want some coffee .,0
"Almost , let me just put my apron on .",0
The Golden State Warriors play home games in Oakland.,1
I made an appointment for a perm at 3 o'clock .,0
Yeah . You can say that again . It ’ s noisy too .,0
Laurence Fishburne acted in a movie.,1
Steven Spielberg participates in the creation of movies.,1
William Shatner did not host a series.,1
